"NGÂN HÀNG NÔNG NGHIỆP
 VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM",,,,"CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
Độc lập - Tự do - Hạnh phúc",,,
7,"Đâu là biện pháp kiểm soát rủi ro tín dụng, rủi ro tập trung tín dụng?","Theo dõi rủi ro tín dụng, rủi ro tập trung tín dụng, xác định mức độ suy giảm chất lượng tín dụng của từng khoản cấp tín dụng và danh mục cấp tín dụng được phân công quản lý","Kiểm soát trạng thái RRTD của từng khoản cấp tín dụng, danh mục cấp tín dụng và trạng thái rủi ro tập trung tín dụng thực tế đảm bảo tuân thủ giới hạn cấp tín dụng, hạn mức RRTD, rủi ro tập trung tín dụng; tăng cường chốt kiểm soát theo từng quy trình","Thiết lập danh sách RRTD, rủi ro tập trung tín dụng đã, đang và có thể phát sinh trên cơ sở XHTDNB, phân loại nợ, các thay đổi của quy định pháp luật, chính sách, môi trường kinh doanh… để xác định dự báo các RRTD, rủi ro tập trung tín dụng","Xác định nguyên nhân rủi ro đã được nhận dạng, bao gồm nguyên nhân bên ngoài (môi trường kinh doanh, pháp lý, điều kiện kinh tế vĩ mô, nguyên nhân nội tại của khách hàng...) và nguyên nhân bên trong (hệ thống văn bản nội bộ, phần mềm/công cụ hỗ trợ, nhân sự…)",2,Khoản 4 Điều 5 Quy định 375/QyĐ-HĐTV-RRTD ngày 10/5/2024
8,"Tổng mức dư nợ cấp tín dụng đối với tất cả công ty con, công ty liên kết của Agribank (trừ trường hợp cấp tín dụng cho công ty con là TCTD được chuyển giao bắt buộc) theo quy định tại Luật các TCTD không vượt quá bao nhiêu % vốn tự có của Agribank?",1%,5%,10%,15%,4,Khoản 5 Điều 3 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
9,"Trừ những trường hợp cho vay theo quy định của Chính phủ, NHNN, tổng mức cho vay đối với 01 ngành/lĩnh vực kinh tế không vượt quá mấy lần vốn tự có của Agribank?",1 lần,2 lần,3 lần,4 lần,4,Khoản 4 Điều 4 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
10,"Đến ngày 31/12/2025, tổng mức dư nợ cấp tín dụng đối với 01 khách hàng (không bao gồm khách hàng là TCTD, chi nhánh ngân hàng nước ngoài) không vượt quá bao nhiêu % tổng mức dư nợ cấp tín dụng nền kinh tế của Agribank?",1%,3%,15%,25%,1,Khoản 1 Điều 5 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
11,Đối với khoản nợ đã bán (trừ khoản nợ đã được sử dụng dự phòng để xử lý rủi ro) nhưng chưa thu được đầy đủ tiền bán nợ thì Agribank nơi cấp tín dụng bán nợ phân loại số tiền chưa thu được như thế nào?,Giám đốc Agribank nơi cấp tín dụng bán nợ quyết định,Không thực hiện phân loại số tiền chưa thu được,"Phân loại số tiền chưa thu được theo hợp đồng mua, bán nợ như là khoản nợ chưa bán",,3,Khoản 6 Điều 5 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
12,Tổng mức dư nợ cấp tín dụng phục vụ nhu cầu đời sống không vượt quá bao nhiêu % tổng mức dư nợ cấp tín dụng khách hàng cá nhân của Agribank?,15%,25%,35%,50%,3,Khoản 2 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
13,Tổng mức dư nợ cấp tín dụng đầu tư kinh doanh bất động sản không vượt quá bao nhiêu % tổng mức dư nợ cấp tín dụng nền kinh tế của Agribank?,20%,15%,10%,5%,4,Khoản 3 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
14,"Tổng mức dư nợ cấp tín dụng 01 ngành/lĩnh vực không vượt quá bao nhiêu % tổng mức dư nợ cấp tín dụng nền kinh tế của Agribank (trừ những trường hợp cho vay theo quy định của Chính phủ, NHNN và các trường hợp cấp tín dụng các dự án theo hợp đồng BOT, BTO, cấp tín dụng phục vụ nhu cầu đời sống, cấp tín dụng đầu tư kinh doanh bất động sản)?",25%,30%,35%,40%,2,Khoản 4 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
15,"Ngưỡng cảnh báo mức 1 của hạn mức rủi ro tín dụng, rủi ro tập trung tín dụng nằm trong khoảng bao nhiêu % hạn mức quy định theo Quy định 2980/QyĐ-NHNo-RRTD?",75%- dưới 80%,80%- dưới 85%,85%- dưới 90%,95%-100%,3,Khoản 2 Điều 7 Quy định 2980/QyĐ-NHNo-RRTD
16,"Tổng mức dư nợ cấp tín dụng khách hàng cá nhân nhằm mục đích xây dựng, sửa chữa, cải tạo nhà ở không vượt quá bao nhiêu % hạn mức cấp tín dụng phục vụ nhu cầu đời sống của Agribank?",20%,30%,40%,50%,4,Khoản 2 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
17,"Tổng mức dư nợ cấp tín dụng khách hàng cá nhân nhằm mục đích mua nhà ở, đất ở không vượt quá bao nhiêu % hạn mức cấp tín dụng phục vụ nhu cầu đời sống của Agribank?",30%,25%,35%,20%,1,Khoản 2 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
18,"Tổng mức dư nợ cấp tín dụng khách hàng cá nhân nhằm mục đích phục vụ nhu cầu cải thiện đời sống (mua sắm phương tiện, đồ dùng, giải trí, du lịch, học tập…) không vượt quá bao nhiêu % hạn mức cấp tín dụng phục vụ nhu cầu đời sống của Agribank?",10%,20%,25%,50%,4,Khoản 2 Điều 6 Quy định 2980/QyĐ-NHNo-RRTD ngày 28/8/2024
19,Việc phân loại nợ hiện nay được các ngân hàng thương mại Việt Nam thực hiện theo văn bản quy phạm pháp luật nào?,Quyết định 493/2005/QĐ –NHNN,Thông tư 02/2013/TT-NHNN,Thông tư 11/2021/TT-NHNN,Thông tư 31/2024/TT-NHNN,4,Thông tư 31/2024/TT-NHNN
20,"Các tài sản có phát sinh từ hoạt động nào sau đây thuộc phạm vi điều chỉnh của Quy chế 910/QC-HĐTV-RRTD về phân loại tài sản có, mức trích, phương pháp trích lập dự phòng rủi ro trong hoạt động của Agribank?",Ủy thác cấp tín dụng,Tiền gửi không kỳ hạn tại TCTD khác,Mua nợ xấu của Agribank với Công ty quản lý tài sản của các TCTD Việt Nam,Tất cả các đáp án đều đúng,1,Khoản 2 Điều 3 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
21,"Tài sản có phát sinh từ hoạt động nào sau đây KHÔNG thuộc phạm vi điều chỉnh của Quy chế 910/QC-HĐTV-RRTD về phân loại tài sản có, mức trích, phương pháp trích lập dự phòng rủi ro trong hoạt động của Agribank?",Ủy thác cấp tín dụng,Tiền gửi không kỳ hạn tại TCTD khác,"Mua chứng chỉ tiền gửi do TCTD, chi nhánh ngân hàng nước ngoài khác phát hành",Trả thay theo cam kết ngoại bảng,2,Khoản 2 Điều 3 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
22,"Theo Quy chế 910/QC-HĐTV-RRTD, Nợ cơ cấu lại thời hạn trả nợ là gì?",Là nợ được Agribank chấp thuận điều chỉnh kỳ hạn trả nợ theo quy định của Ngân hàng Nhà nước và Agribank.,Là nợ được Agribank chấp thuận gia hạn nợ theo quy định của Ngân hàng Nhà nước và Agribank.,Là nợ được cơ cấu lại thời hạn trả nợ theo quy định của NHNN và Agribank,Là nợ được Agribank chấp thuận điều chỉnh kỳ hạn trả nợ,3,Khoản 8 Điều 3 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
23,"Chọn đáp án đúng nhất, khoản nợ nào sau đây là nợ xấu?",Các khoản nợ quá hạn từ nhóm 2 đến nhóm 5.,Khoản nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn và thu hồi đầy đủ nợ gốc và lãi còn lại đúng thời hạn (nhóm 1).,Các khoản nợ nội bảng từ nhóm 3 đến nhóm 5.,Các khoản nợ quá hạn từ nhóm 2 đến nhóm 5 và Khoản nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn và thu hồi đầy đủ nợ gốc và lãi còn lại đúng thời hạn (nhóm 1).,3,Khoản 9 Điều 3 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
24,"Theo Quy chế 910/QC-HĐTV-RRTD, nợ xấu bao gồm những khoản nợ nào?","Nợ cần chú ý, nợ dưới tiêu chuẩn, nợ nghi ngờ.","Nợ dưới tiêu chuẩn, nợ nghi ngờ, nợ có khả năng mất vốn.","Khoản nợ quá hạn dưới 10 ngày và được đánh giá là có khả năng thu hồi đầy đủ nợ gốc và lãi bị quá hạn, nợ dưới tiêu chuẩn, nợ nghi ngờ, nợ có khả năng mất vốn.","Nợ cần chú ý, nợ dưới tiêu chuẩn, nợ nghi ngờ, nợ có khả năng mất vốn.",2,Khoản 9 Điều 3 và khoản 1 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
25,Tỷ lệ trích lập dự phòng rủi ro cụ thể cho các khoản nợ nhóm 3 (Nợ dưới tiêu chuẩn) là bao nhiêu?,10%,15%,20%,25%,3,Khoản 2 Điều 9 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
26,Khoản nợ phải thu hồi theo quyết định thu hồi nợ trước hạn của Agribank nơi cấp tín dụng do khách hàng vi phạm thỏa thuận với Agribank nơi cấp tín dụng chưa thu hồi được trong thời gian từ 30 ngày đến 60 ngày kể từ ngày có quyết định thu hồi được phân loại vào nhóm nợ nào?,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,3,Điểm d (vi) khoản 1 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
27,"Anh/chị hãy cho biết theo Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024, khoản nợ phải thu hồi theo kết luận thanh tra, kiểm tra nhưng quá thời hạn thu hồi theo kết luận của thanh tra, kiểm tra đến 60 ngày mà chưa thu hồi được thì được phân loại nhóm nợ nào?",Nhóm 4,Nhóm 5,Nhóm 3,Nhóm 2,1,Tiết (v) Điểm d Khoản 1 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
28,Đối với khoản nợ cơ cấu lại thời hạn trả nợ lần đầu quá hạn 89 ngày theo thời hạn trả nợ được cơ cấu lại lần đầu được phân loại nhóm nợ nào?  ,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,3,Tiết (ii) Điểm d Khoản 1 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
29,Đối với khoản nợ cơ cấu lại thời hạn trả nợ lần đầu quá hạn 95 ngày theo thời hạn trả nợ được cơ cấu lại lần đầu được phân loại nhóm nợ nào?  ,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,4,Điểm đ Khoản 1 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
30,"Đối với khoản nợ cơ cấu lại thời hạn trả nợ, Agribank nơi cấp tín dụng phân loại lại vào nhóm nợ có rủi ro thấp hơn (kể cả nhóm 1) khi đáp ứng đầy đủ điều kiện nào sau đây?","Khách hàng đã trả đầy đủ nợ gốc, lãi theo thời hạn trả nợ được cơ cấu lại (nếu có) trong thời gian tối thiểu 03 (ba) tháng đối với nợ trung hạn, dài hạn, 01 (một) tháng đối với nợ ngắn hạn, kể từ ngày bắt đầu trả đầy đủ nợ gốc hoặc lãi theo thời hạn được cơ cấu lại; Trường hợp gốc và lãi có cùng một (01) kỳ hạn trả nợ thì tính kể từ ngày bắt đầu trả đầy đủ nợ gốc và lãi ","Có tài liệu, hồ sơ chứng minh việc khách hàng đã trả nợ","Agribank nơi cấp tín dụng có đủ cơ sở thông tin, tài liệu để đánh giá khách hàng có khả năng trả đầy đủ nợ gốc và lãi còn lại đúng thời hạn đã được cơ cấu lại",Tất cả các đáp án,4,Khoản 2 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
31,"Đến ngày 20/12/2023, khoản nợ trung hạn của KH A quá hạn 15 ngày. Ngày 21/12/2023 KH A đã trả hết phần gốc, lãi quá hạn. Thời điểm tính thời gian thử thách để khách hàng được phân loại vào nhóm nợ có rủi ro thấp hơn là:",21/12/2023,22/01/2024,22/3/2023,05/12/2024,1,Khoản 2 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
32,Một trong các trường hợp khoản nợ được phân vào nhóm nợ có rủi ro cao hơn là:,"Khách hàng cung cấp đầy đủ, kịp thời và trung thực các thông tin theo yêu cầu của Agribank nơi cấp tín dụng để đánh giá khả năng trả nợ của khách hàng","Khách hàng đã trả đầy đủ nợ gốc, lãi theo thời hạn trả nợ được cơ cấu lại ","Các chỉ tiêu về khả năng sinh lời, khả năng thanh toán, tỷ lệ nợ trên vốn, dòng tiền dẫn đến khả năng trả nợ của KH suy giảm liên tục qua 03 lần đánh giá, phân loại nợ liên tục","Các chỉ tiêu về khả năng sinh lời, khả năng thanh toán, tỷ lệ nợ trên vốn, dòng tiền, khả năng trả nợ của KH không thay đổi",3,Khoản 3 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
33,"Đối với khoản trả thay theo cam kết ngoại bảng, ngày quá hạn được tính từ ngày nào?",Tính ngay từ ngày Agribank thực hiện nghĩa vụ theo cam kết,Sau 10 ngày kể từ ngày Agribank thực hiện cam kết,Sau 30 ngày kể từ ngày Agribank thực hiện cam kết,,1,Điểm b khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
34,Khoản trả thay theo cam kết ngoại bảng quá hạn 45 ngày được phân loại vào nhóm mấy?,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,3,Khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
35,"Trường hợp Agribank nơi cấp tín dụng đánh giá khách hàng không có khả năng thực hiện các nghĩa vụ theo cam kết đối với các khoản cam kết ngoại bảng, Agribank phải thực hiện phân loại vào nhóm mấy?",Agribank không phải thực hiện phân loại nợ đối với các cam kết ngoại bảng,Nhóm 1,Nhóm 2 trở lên,Tất cả các đáp án trên đều sai,3,Khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
36,Khoản trả thay theo cam kết ngoại bảng quá hạn 90 ngày được phân loại nợ nhóm mấy?,Nhóm 3,Nhóm 4,Nhóm 5,Không phải phân loại nợ,3,Điểm b Khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
37,"Theo anh/chị, khoản trả thay theo cam kết ngoại bảng quá hạn 10 ngày được phân loại vào nhóm mấy?",Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,2,Điểm b(ii) khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
38,Khoản trả thay theo cam kết ngoại bảng quá hạn dưới 30 ngày được phân vào nhóm nợ nào?,Nhóm 2,Nhóm 3,Nhóm 4,Nhóm 5,2,Tiết (ii) Điểm b Khoản 4 Điều 6 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 
39,Nguyên tắc trích lập dự phòng nào sau đây là đúng?,"Việc trích lập dự phòng rủi ro phải bảo đảm trích đúng, trích đủ, kịp thời theo kết quả phân loại nợ tại thời điểm tính trích lập dự phòng.","Đối với khoản nợ là ngoại tệ, số tiền trích lập dự phòng rủi ro được thực hiện bằng ngoại tệ đó.",Nguồn dự phòng hình thành và quản lý tại Chi nhánh loại I,,1,Khoản 1 Điều 8 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
40,Nguồn dự phòng hình thành từ Agribank cấp tín dụng được quản lý tại đâu?,Tại Chi nhánh loại I,"Tập trung tại Trụ sở chính cho từng Chi nhánh loại I (bao gồm Chi nhánh loại II được Trụ sở chính phân cấp, ủy quyền cho Chi nhánh loại I quản lý, điều hành)",Tại Agribank nơi cấp tín dụng,Tại Trụ sở chính không chi tiết theo từng chi nhánh,2,Theo khoản 2 Điều 8 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024 và khoản 1 Điều 1 Quy chế 1502/QC-HĐTV-RRTD ngày 16/12/2024
41,Tỷ lệ trích lập dự phòng cụ thể đối với khoản nợ được phân loại là nợ nhóm 4 là bao nhiêu?,5%,20%,50%,100%,3,Khoản 2 Điều 9 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
42,Tỷ lệ trích lập dự phòng cụ thể đối với nợ nhóm 1 là bao nhiêu?,5%,20%,0%,50%,3,Khoản 2 Điều 9 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
43,Giá trị khấu trừ của tài sản bảo đảm phải coi bằng 0 (không) trong trường hợp nào sau đây?,Có văn bản xác định giá trị tài sản bảo đảm của tổ chức định giá còn hiệu lực theo quy định đối với tài sản bảo đảm mà Agribank nơi cấp tín dụng định giá từ 200 tỷ đồng trở lên,Agribank nơi cấp tín dụng không có quyền xử lý tài sản bảo đảm theo thỏa thuận và theo quy định của pháp luật khi khách hàng không thực hiện nghĩa vụ của mình theo thỏa thuận,"Thời gian xử lý tài sản bảo đảm theo dự kiến không quá 01 (một) năm đối với tài sản bảo đảm là động sản và không quá 02 (hai) năm đối với tài sản bảo đảm là bất động sản, kể từ khi Agribank nơi cấp tín dụng có quyền thực hiện xử lý tài sản bảo đảm",Tất cả các đáp án trên đều đúng,2,"Khoản 3, Khoản 4 Điều 9 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024"
44,Agribank nơi cấp tín dụng phải xác định giá trị khấu trừ của tài sản bảo đảm là động sản coi bằng 0 (không) để tính trích lập dự phòng trong các trường hợp nào sau đây?,Tài sản bảo đảm tuân thủ quy định của pháp luật về giao dịch bảo đảm ,Quá thời gian 01 năm kể từ khi Agribank nơi cấp tín dụng có quyền xử lý tài sản bảo đảm theo thỏa thuận và theo quy định của pháp luật,Agribank có quyền xử lý tài sản bảo đảm theo hợp đồng và theo quy định của pháp luật khi khách hàng không thực hiện nghĩa vụ của mình theo thoả thuận,Thời gian xử lý tài sản bảo đảm theo dự kiến dưới 01 năm kể từ khi Agribank nơi cấp tín dụng có quyền thực hiện xử lý tài sản bảo đảm  ,2,Khoản 4 Điều 9  Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
45,"Agribank khi tính số tiền dự phòng rủi ro cụ thể phải trích, tỷ lệ khấu trừ tài sản bảo đảm đối với số dư tiền gửi, chứng chỉ tiền gửi của khách hàng bằng Đồng Việt Nam tại Agribank là bao nhiêu?",80%,85%,95%,100%,4,Khoản 1 Điều 11  Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
46,Tỷ lệ trích lập dự phòng chung đối với các khoản nợ có khả năng mất vốn là bao nhiêu?,Không phải trích lập dự phòng chung,20%,50%,100%,1,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
47,Mức trích lập dự phòng chung được xác định bằng bao nhiêu?,"0,75% tổng số dư các khoản nợ từ nhóm 1 đến nhóm 4","0,75% tổng số dư các khoản nợ từ nhóm 1 đến nhóm 5","0,75% tổng số dư các khoản nợ từ nhóm 3 đến nhóm 5","0,75% tổng số dư các khoản nợ từ nhóm 2 đến nhóm 5",1,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
48,"Khi trích lập dự phòng rủi ro, mức trích lập dự phòng chung theo quy định chiếm tỷ lệ bao nhiêu % tổng số dư các khoản nợ từ nhóm 1 đến nhóm 4?","0,25%","0,5%","0,75%",1%,3,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
49,Khoản nợ thuộc nhóm nào không phải trích lập dự phòng chung?,Nhóm 1,Nhóm 2,Nhóm 3,Nhóm 5,4,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
50,Các khoản nợ không phải trích lập dự phòng chung phát sinh từ các hoạt động nào sau đây (trừ trường hợp NHNN có yêu cầu trích lập dự phòng chung)?,"Mua, bán nợ theo quy định của Ngân hàng Nhà nước Việt Nam về hoạt động mua, bán nợ","Mua chứng chỉ tiền gửi, trái phiếu do TCTD, chi nhánh nước ngoài khác phát hành trong nước",Các khoản nợ từ nhóm 1 đến nhóm 4,,2,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
51,"Tổng dư nợ của Chi nhánh là 1.000 tỷ đồng, trong đó:
- Dư nợ nhóm 1: 800 tỷ;
- Dư nợ nhóm 2: 100 tỷ;
- Dư nợ nhóm 3: 20 tỷ;
- Dư nợ nhóm 4: 40 tỷ;
- Dư nợ nhóm 5: 40 tỷ.
Theo anh/chị, dự phòng chung Chi nhánh phải trích là bao nhiêu?","7,2 tỷ","7,5 tỷ",72 tỷ,75 tỷ,1,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
52,Chi nhánh A có 600 tỷ đồng nợ nhóm 1; 50 tỷ đồng nợ nhóm 2; 6 tỷ đồng nợ nhóm 5. Theo anh/chị số tiền dự phòng chung Chi nhánh phải trích lập là bao nhiêu?,3.250 triệu đồng,4.875 triệu đồng,4.920 triệu đồng,3.280 triệu đồng,2,Điều 12 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
53,"Trường hợp số tiền dự phòng cụ thể và dự phòng chung chưa sử dụng của kỳ kế toán trước nhỏ hơn số tiền dự phòng cụ thể và dự phòng chung phải trích của kỳ kế toán trích lập, Agribank nơi cấp tín dụng cần làm gì?",Hoàn nhập phần chênh lệch,Trích bổ sung phần chênh lệch thiếu,Trích bổ sung 50% phần chênh lệch thiếu,Không làm gì cả,2,Khoản 1 Điều 13 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
54,"Trường hợp số tiền dự phòng cụ thể và dự phòng chung chưa sử dụng của kỳ kế toán trước lớn hơn số tiền dự phòng cụ thể và dự phòng chung phải trích của kỳ kế toán trích lập, Agribank phải thực hiện như thế nào? ",Hoàn nhập 50% phần chênh lệch thừa,Hoàn nhập 75% phần chênh lệch thừa,Hoàn nhập 100% phần chênh lệch thừa,,3,Khoản 2 Điều 13 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
55,"Trường hợp số tiền dự phòng cụ thể và dự phòng chung chưa sử dụng của kỳ kế toán trước lớn hơn số tiền dự phòng cụ thể và dự phòng chung phải trích của kỳ kế toán trích lập, phần chênh lệch thừa sẽ được xử lý thế nào?",Agribank phải hoàn nhập phần chênh lệch thừa,Trụ sở chính giữ lại để xử lý,Trụ sở chính cân đối giữ lại 1 phần và hoàn nhập 1 phần cho Agribank nơi cấp tín dụng,,1,Khoản 2 Điều 13 Quy chế 910/QC-HĐTV-RRTD ngày 31/7/2024
