NGÂN HÀNG NÔNG NGHIỆP,,,,CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM,,,,
VÀ PHÁT TRIỂN NÔNG THÔN VIỆT NAM,,,,Độc lập - Tự do - Hạnh phúc,,,,
16,6,"Theo Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024, khi trao đổi công việc với đồng nghiệp ngang cấp, cán bộ Agribank cần:",Tránh tranh luận để không làm mất lòng đồng nghiệp,Chỉ đưa ra ý kiến khi chắc chắn đúng,Tập trung vào ý kiến cá nhân hơn là thảo luận nhóm,"Trao đổi công việc công khai, cởi mở, sẵn sàng lắng nghe ý kiến, tranh luận và góp ý trên tinh thần cầu thị, xây dựng",4,Điểm c Khoản 3 Điều 6 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
17,7,Nguyên tắc nào cần được áp dụng  khi giải quyết bất đồng quan điểm trong công việc theo Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024?,“Lắng nghe - Hợp tác”,“Minh bạch - Lắng nghe - Hợp tác”,“Hợp tác”,“Lắng nghe”,2,Khoản 4 Điều 6 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
18,8,Một trong những mục tiêu dài hạn của Agribank được nêu trong Quy định Chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank là gì?,"Xây dựng Agribank hiện đại và hội nhập, hoạt động an toàn, hiệu quả, giữ vững vị trí chủ lực trên thị trường tài chính nông nghiệp, nông thôn",Đẩy mạnh các hoạt động hỗ trợ cộng đồng,"Mở rộng mạng lưới chi nhánh, điểm giao dịch trên toàn quốc",Tăng trưởng doanh thu hàng năm của Agribank,1,Khoản 2 Điều 2 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
19,9,"Quy định Chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank góp phần bảo vệ, xây dựng và phát triển yếu tố nào của Agribank?",Nguồn nhân lực chất lượng cao,"Văn hóa doanh nghiệp, văn hóa kinh doanh",Các chiến lược đầu tư dài hạn,Quan hệ đối tác với các ngân hàng quốc tế,2,Khoản 2 Điều 2 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
20,10,Một trong những yêu cầu về tính tuân thủ đối với cán bộ Agribank trong Quy định Chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank là gì?,Chỉ cần nắm vững các quy trình nghiệp vụ cơ bản,"Nắm vững các quy trình, thủ tục, thuần thục các thao tác chuyên môn, nghiệp vụ",Tự do sử dụng thông tin và cơ hội kinh doanh của Agribank để thu lợi cá nhân,Tập trung vào việc đạt được chỉ tiêu kinh doanh mà không cần tuân thủ quy định,2,Điểm b khoản 1 Điều 3 Quy định số 1345/QyĐ-HĐTV-TTh ngày 15/11/2024 Quy định chuẩn mực đạo đức nghề nghiệp và quy tắc ứng xử của cán bộ Agribank
III. NỘI QUY LAO ĐỘNG AGRIBANK; CHUYỂN ĐỔI SỐ (15 CÂU),,,,,,,,
III.1. NỘI QUY LAO ĐỘNG AGRIBANK (10 CÂU),,,,,,,,
21,1,"Theo Nội quy lao động trong hệ thống Agribank, người trực tiếp sử dụng lao động là người được giao phụ trách, quản lý một nhóm người lao động, gồm:","Chủ nhiệm Ủy ban, Trưởng khối nghiệp vụ, Trưởng Ban và Trưởng các đơn vị tương đương tại Trụ sở chính","Trưởng phòng của: Đơn vị sự nghiệp, Văn phòng đại diện, Chi nhánh loại I","Giám đốc Chi nhánh loại II; Giám đốc Phòng giao dịch trực thuộc Chi nhánh loại I, loại II",Tất cả các đáp án trên đều đúng,4,Theo khoản 5 Điều 2 Nội quy lao động số 429
22,2,"Theo Nội quy lao động  trong hệ thống Agribank, trường hợp hợp đồng lao động hết hạn trong thời gian lao động nữ mang thai hoặc nuôi con dưới 12 tháng tuổi thì được:", Ưu tiên giao kết hợp đồng lao động mới,Chấm dứt hợp đồng lao động,Thời gian nghỉ thai sản không được tính vào thời gian thực hiện hợp đồng,Sa thải,1,khoản 3 Điều 11 Nội quy lao động số 429
23,3,"Theo Nội quy lao động  trong hệ thống Agribank, lao động nữ được nghỉ thai sản trước và sau khi sinh con là 06 tháng; thời gian nghỉ trước khi sinh không quá:",01 tháng,02 tháng,03 tháng,06 tháng,2,khoản 1 Điều 12 Nội quy lao động số 429
24,4,"Theo Nội quy lao động  trong hệ thống Agribank, thiệt hại mức 1 là thiệt hại có giá trị không quá bao nhiêu tháng lương tối thiểu vùng?",05 tháng lương tối thiểu vùng,06 tháng lương tối thiểu vùng,07 tháng lương tối thiểu vùng,10 tháng lương tối thiểu vùng,4,Khoản 13 Điều 2 Nội quy lao động số 429
25,5,"Theo Nội quy lao động trong hệ thống Agribank, lao động nữ trong thời gian nuôi con dưới 12 tháng tuổi được nghỉ bao nhiêu phút mỗi ngày trong thời gian làm việc ?",30 phút,45 phút,60 phút,90 phút,3,Khoản 4 Điều 11 Nội quy lao động số 429
26,6,"Theo Nội quy lao động  trong hệ thống Agribank, hành vi nào sau đây có thể bị buộc rời khỏi Trụ sở làm việc?","Gây rối, mất trật tự tại Trụ sở làm việc",Chơi game trong giờ làm việc,Nói xấu người khác trong giờ làm việc,,1,khoản 3 Điều 5 Nội quy lao động số 429
27,7,"Theo Nội quy lao động  trong hệ thống Agribank, thời hạn tạm đình chỉ công việc trong trường hợp đặc biệt không được quá bao nhiêu ngày?",90 ngày làm việc,60,60 ngày làm việc,90,4,Khoản 2 Điều 57 Nội quy lao động  429
28,8,"Theo Nội quy lao động trong hệ thống Agribank, người lao động làm việc theo ca được nghỉ trong thời gian bao lâu trước khi chuyển sang ca làm việc tiếp theo?",Ít nhất 6 giờ.,Ít nhất 9 giờ.,Ít nhất 12 giờ.,Ít nhất 18 giờ.,3,"Khoản 2, Điều 4 Nội quy lao động số 429/NQLĐ-HĐTV-TCNS ngày 25/7/2022 "
29,9,"Theo Nội quy lao động trong hệ thống Agribank, người có thẩm quyền xử lý kỷ luật lao động là:",Người sử dụng lao động; Người đại diện theo pháp luật.,Người đại diện theo pháp luật.,Người sử dụng lao động theo ủy quyền.,Người sử dụng lao động; Người đại diện theo pháp luật; Người sử dụng lao động theo ủy quyền.,4,Khoản 3 Điều 48 Nội quy lao động số 429/NQLĐ-HĐTV-TCNS ngày 25/7/2022
30,10,"Theo Nội quy lao động trong hệ thống Agribank, hành vi nào dưới đây vi phạm về bảo vệ bí mật nhà nước?","Mang thiết bị, máy móc hoặc bất kỳ tài sản nào của đơn vị ra khỏi Trụ sở làm việc mà không có sự đồng ý của người có thẩm quyền.","Mang tài liệu, vật chứa bí mật nhà nước ra khỏi nơi lưu giữ trái quy định của pháp luật lao động, Agribank.","Mang vũ khí,  các vật gây cháy nổ hoặc các vật dụng nguy hiểm khác vào Trụ sở làm việc.",,2,"Khoản 2, Điều 25 Nội quy lao động số 429/NQLĐ-HĐTV-TCNS ngày 25/7/2024"
III.2. CHUYỂN ĐỔI SỐ (05 CÂU),,,,,,,,
31,1,Chuyển đổi số là việc của ai?,Người lãnh đạo,Chuyên gia công nghệ,Nhà nước,Tất cả mọi người,4,Cẩm nang chuyển đổi số - Bộ Thông tin - Truyền thông
32,2,Lợi ích của chuyển đổi số là gì?,Tăng năng suất,Giảm chi phí,Tạo ra các giá trị mới ngoài các giá trị truyền thống vốn có,Cả ba phương án trên ,4,Cẩm nang chuyển đổi số - Bộ Thông tin - Truyền thông
33,3,Chuyển đổi số KHÔNG bao gồm yếu tố nào sau đây?,Văn hóa tổ chức,Hệ thống dữ liệu,Công nghệ thông tin,Tăng cường hoạt động đoàn thể,4,Các nguồn tham khảo khác
34,4,"Trong mô hình ngân hàng số, yếu tố nào là then chốt nhất?",Thiết kế văn phòng hiện đại,Gia tăng vốn tự có,Ứng dụng công nghệ số và dữ liệu khách hàng,Tăng số lượng chi nhánh,3,Các nguồn tham khảo khác
35,5,Dữ liệu cá nhân là gì?,"Dữ liệu liên quan đến tài chính, kế toán của tổ chức",Các tệp tài liệu lưu trữ trên máy tính cá nhân,"Dữ liệu tổng hợp và ẩn danh, không liên quan đến bất kỳ cá nhân nào","Thông tin dưới dạng ký hiệu, chữ viết, chữ số, hình ảnh, âm thanh hoặc dạng tương tự trên môi trường điện tử gắn liền với một con người cụ thể hoặc giúp xác định một con người cụ thể",4,Khoản 1 Điều 2 Nghị định số 13/2023/NĐ-CP
IV. SẢN PHẨM DỊCH VỤ (90 CÂU),,,,,,,,
IV.1. NGÂN HÀNG ĐIỆN TỬ (15 CÂU),,,,,,,,
36,1,"Theo Quy định 1228/QyĐ-NHNo-KHCN ngày 21/05/2024, khách hàng được quyền đề nghị tra soát, khiếu nại trong thời hạn bao nhiêu ngày kể từ ngày phát sinh giao dịch?",Trong vòng 30 ngày,Trong vòng 45 ngày,Trong vòng 60 ngày,Trong vòng 90 ngày,3,Khoản 1 Điều 14 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024
37,2,"Kênh nào sau đây KHÔNG thuộc các kênh tiếp nhận thông tin tra soát, khiếu nại chính thức của Agribank?",Bất kỳ điểm giao dịch nào của Agribank trên toàn quốc,Qua Tổng đài hỗ trợ khách hàng 24/7,Qua chức năng Tra soát online trên dịch vụ Agribank Plus,Qua tin nhắn cá nhân của cán bộ ngân hàng,4,Khoản 2 Điều 14 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024
38,3,"Các dịch vụ hiện có của dịch vụ Agribank Plus, gồm:",Dịch vụ tài chính.,Dịch vụ phi tài chính.,Các dịch vụ thẻ.,Tất cả các đáp án trên.,4,Khoản 1 Điều 4 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024
39,4,"Khi có khiếu nại về dịch vụ ngân hàng điện tử, khách hàng thực hiện qua các kênh nào tại Agribank?",Tại bất kỳ điểm giao dịch nào của Agribank trên toàn quốc.,Qua Tổng đài hỗ trợ khách hàng 24/7 và các kênh tiếp nhận yêu cầu hỗ trợ của Trung tâm Chăm sóc khách hàng.,Qua tổng đài hỗ trợ khách hàng của các đối tác hợp tác triển khai dịch vụ.,Đáp án 1 và 2 đều đúng.,4,Khoản 2 Điều 14 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024
40,5,Dịch vụ phi tài chính của dịch vụ SMS banking là dịch vụ nào?,Vấn tin số dư tài khoản; Sao kê 05 giao dịch gần nhất.,Chuyển khoản liên ngân hàng.,Chuyển khoản trong hệ thống Agribank.,Tất cả các đấp án trên đều đúng,1,"Tiết II, Điểm a, khoản 2 Điều 4 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024"
41,6,Trong các dịch vụ sau của Agribank dịch vụ nào là dịch vụ tài chính trên SMS Banking?,Tự động thông báo số dư; vấn tin số dư và liệt kê 5 giao dịch gần nhất.,ATransfer: Dịch vụ cho phép khách hàng chuyển khoản trong hệ thống Agribank.,Tra cứu thông tin; Quản lý đầu tư.,,2,"Tiết I, Điểm b, khoản 2 Điều 4 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024"
42,7,Khách hàng phải làm gì để hủy dịch vụ Agribank Plus?,Đến bất kỳ chi nhánh nào của Agribank để hủy dịch vụ.,Đến chi nhánh đăng ký dịch vụ để hủy dịch vụ.,Gọi điện đến Trung tâm chăm sóc khách hàng của Agribank để hủy dịch vụ trong trường hợp khẩn cấp.,Tất cả các đáp án trên đều đúng.,4,Khoản 5 Điều 3 Quyết định số 1228/QyĐ-NHNo-KHCN ngày 21/05/2024
43,8,Agribank cung cấp những gói dịch vụ nào cho khách hàng trên kênh Agribank eBanking?,Gói mặc định; Gói dịch vụ và Gói tùy chỉnh.,Gói dùng chung; Gói tiêu chuẩn; Gói cao cấp và Gói riêng biệt.,Gói dùng chung và Gói cao cấp; Gói tiêu chuẩn.,Gói cao cấp và Gói riêng biệt; Gói tiêu chuẩn.,1,"Phần I, Điều 4, khoản 1 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
44,9,Dịch vụ Agribank eBanking cung cấp cho khách hàng qua kênh nào?,Qua website tại địa chỉ: https://ebanking.agribank.com.vn,Qua ứng dụng (Agribank Corporate eBanking dành cho khách hàng tổ chức; Agribank Retail eBanking dành cho khách hàng cá nhân) được cài đặt trên điện thoại thông minh/máy tính bảng.,Qua website tại địa chỉ: https://ebanking.agribank.com.vn; và/hoặc Qua ứng dụng (Agribank Corporate eBanking dành cho khách hàng tổ chức; Agribank Retail eBanking dành cho khách hàng cá nhân) được cài đặt trên điện thoại thông minh/máy tính bảng,Qua website tại địa chỉ: https://ibank.agribank.com.vn; và/hoặc Qua ứng dụng (Agribank Corporate eBanking dành cho khách hàng tổ chức) được cài đặt trên điện thoại thông minh/máy tính bảng,3,"Phần I, Điều 2, khoản 2 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
45,10,Agribank quy định như thế nào về Tên đăng nhập dịch vụ Agribank eBanking?,Tên đăng nhập: là số điện thoại di động của khách hàng đăng ký sử dụng dịch vụ;,"Có độ dài tối thiểu 06 (sáu) ký tự; không có ký tự đặc biệt, không có dấu cách, không có dấu tiếng Việt.","Có độ dài tối thiểu 08 (tám) ký tự; không có ký tự đặc biệt, không có dấu cách, không có dấu tiếng Việt.","Có độ dài tối thiểu 06 (sáu) ký tự; không có ký tự đặc biệt, không có dấu cách, có dấu tiếng Việt.",2,"Phần I, Điều 5, khoản 1 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
46,11,Khách hàng có thể lập yêu cầu giao dịch có ngày hiệu lực trong tương lai trên hệ thống Agribank eBanking không?,Có,Không,,,1,"Phần I, Điều 8, khoản 2.1 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
47,12,Theo VB 4416/QTr-NHNo-NHS ngày 30/12/2024; Đối tượng nào quản lý thông tin ma trận phê duyệt (approval matrix) trên Agribank eBanking?,Chi nhánh,Khách hàng,Chi nhánh và khách hàng,Trung tâm CNTT,4,"Chương III, mục 2, điều 36, khoản 2 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
48,13,"Khách hàng Agribank eBanking được quyền tra soát, khiếu nại trong thời gian nào?",15 ngày,30 ngày,45 ngày,60 ngày,4,"Chương II, mục 4, điều 31, khoản 1 - Quy trình 4416/QTr-NHNo-NHS ngày 30/12/2024"
49,14,Agribank KHÔNG cung cấp dịch vụ ngân hàng điện tử trong trường hợp nào sau đây?,Tài khoản khách hàng hoạt động bình thường,Tài khoản tạm khóa hoặc phong tỏa,Tài khoản có giao dịch chuyển khoản liên ngân hàng,Tài khoản đang có số dư lớn,2,"Điều 3, Quy định 1228/QyĐ-NHNo-KHCN ngày 21/5/2024"
50,15,Khách hàng có được phép chỉnh sửa hoặc hủy các giao dịch đã thực hiện qua hệ thống điện tử của Agribank không?,"Có, nếu chưa quá 5 phút","Có, nếu giao dịch dưới 10 triệu đồng",Không được phép chỉnh sửa hoặc hủy,"Có, nếu gọi tổng đài trong 10 phút",3,"Điều 3, Quy định 1228/QyĐ-NHNo-KHCN ngày 21/5/2024"
IV.2. SẢN PHẨM DỊCH VỤ THANH TOÁN TRONG NƯỚC; KIỀU HỐI (15 CÂU),,,,,,,,
51,1,"Theo Quyết định 239/QĐ-NHNo-TTKH về quy trình dịch vụ Agripay, khách hàng nhận tiền có thể nhận tiền tại:","Tại chi nhánh, phòng giao dịch cùng tỉnh, thành phố với chi nhánh chuyển tiền đi","Tại chi nhánh, phòng giao dịch khác tỉnh, thành phố với chi nhánh chuyển tiền đi","Tại bất kỳ chi nhánh, phòng giao dịch thuộc hệ thống Agribank.","Tại chi nhánh, phòng giao dịch  được chỉ định trên lệnh thanh toán",3,Khoản 6 Điều 2 QĐ 239/QĐ-NHNo-TTKH
52,2,"Theo Quyết định 239/QĐ-NHNo-TTKH về quy trình dịch vụ Agripay, người nhận tiền cần xuất trình những loại giấy tờ tùy thân nào sau đây để nhận tiền?","Chứng minh nhân dân, căn cước công dân hoặc hộ chiếu còn hiệu lực.",Sổ hộ khẩu,Giấy phép lái xe,Tất cả các đáp án trên,1,Khoản 8 Điều 2 QĐ 239/QĐ-NHNo-TTKH
53,3,"Theo quy định tại Quyết định 239/QĐ-NHNo-TTKH của Agribank về quy trình dịch vụ Agripay, Chi nhánh chỉ được chi tiền cho người thụ hưởng khi nào?","Khách hàng cung cấp đầy đủ, chính xác mã số chuyển tiền",Khách hàng cung cấp giấy tờ tùy thân hợp lệ,"Khách hàng cung cấp đầy đủ, chính xác thông tin trên phiếu nhận tiền, mã số chuyển tiền và Giấy tờ tùy thân hợp lệ",,3,Khoản 3 Điều 3 QĐ 239/QĐ-NHNo-TTKH
54,4,"Theo Quyết định 333/QĐ-NHNo-TTKH về giao dịch gửi, rút tiền nhiều nơi đối với khách hàng có tài khoản thanh toán, tài khoản tiền gửi tiết kiệm trong hệ thống Agribank và các văn bản sửa đổi, đồng tiền được phép gửi, rút tiền nhiều nơi bao gồm những đồng tiền nào?",VND,"VND, USD","VND, USD, EUR",VND và ngoại tệ được phép giao dịch,3,Khoản 3 Điều 1 QĐ1782/QĐ-NHNo-TTKH
55,5,"Theo Quyết định 205/QĐ-NHNo-TTKH về quy định cung ứng, quản lý và sử dụng dịch vụ kết nối thanh toán với khách hàng, khách hàng sử dụng dịch vụ là những đối tượng nào?",Cá nhân,"Tổ chức kinh tế,  cá nhân","Tổ chức kinh tế, Định chế tài chính được thành lập và hoạt động hợp pháp theo quy định của pháp luật Việt Nam",Không có đáp án nào đúng,3,Điểm b khoản 2 Điều 1 QĐ 205/QĐ-NHNo-TTKH
56,6,"Theo quy định tại Quyết định 239/QĐ-NHNo-TTKH của Agribank về quy trình dịch vụ Agripay, chi nhánh phải xử lý đối với các giao dịch chuyển tiền Agri-pay sau thời gian bao lâu không có người nhận?",3 tháng,6 tháng,9 tháng,12 tháng,2,Điều 9 QĐ 239/QĐ-NHNo-TTKH
57,7,"Theo quy định tại Quyết định 333/QĐ-NHNo-TTKH quy định về giao dịch gửi, rút tiền nhiều nơi đối với khách hàng có tài khoản thanh toán, tài khoản tiền gửi tiết kiệm trong hệ thống Agribank và các văn bản sửa đổi, hạn mức rút tiền mặt của khách hàng tại hội sở chi nhánh loại I, loại II được áp dụng như thế nào?",Tối đa 1 tỷ đồng,Tối đa 5 tỷ đồng,Theo quy định của Tổng Giám đốc trong từng thời kỳ,Theo quy định của Giám đốc chi nhánh loại I,3,Điểm a Khoản 5 Điều 3 QĐ 333/QĐ-NHNo-TTKH
58,8,"Theo Quy trình 2086/QĐ-NHNo-TTKH về Thu ngân sách nhà nước tại Agribank và các văn bản sửa đổi, khách hàng thực hiện nộp thuế là những đối tượng nào?",Cá nhân,Tổ chức,"Tổ chức, cá nhân",,3,Điểm b Khoản 2 Điều 1 QĐ số 2086/QĐ-NHNo-TTKH
59,9,Loại tài khoản nào được rút tiền ngoại tệ tại quầy của chi nhánh khác chi nhánh mở tài khoản?,Tài khoản thanh toán của khách hàng cá nhân,Tài khoản thanh toán của khách hàng tổ chức,Tài khoản tiền gửi có kỳ hạn của khách hàng tổ chức,Cả 1 và 2,1,Khoản 4 Điều 3 QĐ 333/QĐ-NHNo-TTKH
60,10,Hạn mức giao dịch Agripay tại quầy tối đa là bao nhiêu tiền trên một giao dịch?,100 triệu đồng,200 triệu đồng,300 triệu đồng,400 triệu đồng,3,Khoản 1 Điều 6 QĐ 239/QĐ-NHNo-TTKH
